AS114--UA0C	- Baidukov 
AS115--TA4	- Anatolia South 
AS116--BY7	- Scarborough 
AS117--JA	- Honshu Coast 
AS118--9K	- Persian Gulf 
AS119--A4	- Musandam 
AS120--5B	- Cyprus Coast 
AS121--UA0B	- Nordenshelda 
AS122--HL	- Paengnyong 
AS123--TA	- Anatolia SE 
AS124--A6	- Gulf of Oman 
AS125--HS0	- Koh Chang 
AS126--HS	- Butang 
AS127--S2	- Chittagong 
AS128--XV	- Mekong Delta West group 
AS129--BY7	- Guangdong province east group 
AS130--XV	- Con Son group 
AS131--BY	- Guangdong province west group 
AS132--XV	- Fai Tsi Long Archipelago 
AS133--XU	- Gulf of Thailand group 
AS134--BY3	- Hebei/Tianjin province group 
AS135--BY4	- Shandong province south group 
AS136--BY4	- Jiangsu province group 
AS137--BY5	- Zhoushan archipelago 
AS138--BY5	- Fujian province group 
AS139--BY7	- Guangxi province group 
AS140--S2	- Khulna region group 
AN001--		- Adelaide 
AN002--3Y	- Bouvet 
AN003--VK0	- Heard 
AN004--3Y	- Peter 1 
AN005--VK0	- Macquarie 
AN006--		- Biscoe 
AN007--VP8	- South Georgia 
AN008--		- South Orkney 
AN009--VP8	- South Sandwich 
AN010--		- South Shetland 
AN011--		- Ross 
AN012--		- Palmer 
AN013--		- Joinville 
AN014--		- Berkner 
AN015--		- Queen Maud L/Ongul 
AN016--		- Antarctica 
AN017--		- Adelie L/Petrels 
AN018--		- Alexander 
AF001--3B6	- Agalega 
AF002--FT8Z	- Amsterdam 
AF003--ZD8	- Ascension 
AF004--EA8	- Canary 
AF005--D4	- Cape Verde 
AF006--VQ9	- Diego Garcia 
